1200
id, time
254, 29527
264, 29539
128, 29542
78, 29544
177, 29557
168, 29585
14, 29628
98, 29635
137, 29636
112, 29640
208, 29660
51, 29671
103, 29688
42, 29703
7, 29721
207, 29743
82, 29762
205, 29763
228, 29786
200, 29797
264, 29831
20, 29841
170, 29849
279, 29899
221, 29928
164, 29943
32, 29946
92, 29949
199, 29958
139, 30004
127, 30033
170, 30054
121, 30059
39, 30061
299, 30061
91, 30078
145, 30087
291, 30108
176, 30142
17, 30146
212, 30166
243, 30167
219, 30169
27, 30182
33, 30213
53, 30217
172, 30228
271, 30230
72, 30253
38, 30277
31, 30301
68, 30309
191, 30333
110, 30334
156, 30387
274, 30396
284, 30412
9, 30435
166, 30436
250, 30453
69, 30469
173, 30483
61, 30487
227, 30496
263, 30503
189, 30506
195, 30520
54, 30522
108, 30531
88, 30550
251, 30598
5, 30624
91, 30636
19, 30639
88, 30643
296, 30676
238, 30681
143, 30683
138, 30693
296, 30719
216, 30725
232, 30747
10, 30762
179, 30765
45, 30804
106, 30811
231, 30817
191, 30819
259, 30822
43, 30829
30, 30830
27, 30854
205, 30854
244, 30857
134, 30891
160, 30918
273, 30946
215, 30955
105, 30956
123, 30973
76, 31014
245, 31026
132, 31035
196, 31044
248, 31056
139, 31068
191, 31089
132, 31110
211, 31113
293, 31142
293, 31156
4, 31170
89, 31171
46, 31189
32, 31191
79, 31211
54, 31230
152, 31243
162, 31244
246, 31244
132, 31304
30, 31305
113, 31317
147, 31321
157, 31324
241, 31361
201, 31368
146, 31378
192, 31378
206, 31384
176, 31435
167, 31451
226, 31455
77, 31456
152, 31458
270, 31491
251, 31507
293, 31567
235, 31579
242, 31604
270, 31634
293, 31643
97, 31646
29, 31685
284, 31710
60, 31727
193, 31734
40, 31739
62, 31745
225, 31745
272, 31748
275, 31778
114, 31786
169, 31787
43, 31788
41, 31791
260, 31839
32, 31848
294, 31854
273, 31862
171, 31874
50, 31910
239, 31940
189, 31945
233, 31989
247, 31989
190, 32000
213, 32004
153, 32032
155, 32035
197, 32037
298, 32046
278, 32067
135, 32077
262, 32082
238, 32086
126, 32099
15, 32102
215, 32126
130, 32137
253, 32141
47, 32154
153, 32159
172, 32159
219, 32162
25, 32168
181, 32168
194, 32170
122, 32177
16, 32189
67, 32203
220, 32207
159, 32208
80, 32226
297, 32236
71, 32239
87, 32291
245, 32291
74, 32293
67, 32304
226, 32368
92, 32378
120, 32388
97, 32395
236, 32399
91, 32417
128, 32423
115, 32477
174, 32478
92, 32515
56, 32556
260, 32560
277, 32600
129, 32620
3, 32638
35, 32687
180, 32712
137, 32729
284, 32752
279, 32753
254, 32766
270, 32779
99, 32785
118, 32805
28, 32814
177, 32814
143, 32821
201, 32845
126, 32847
31, 32848
7, 32904
147, 32919
209, 32953
201, 33019
240, 33019
223, 33026
84, 33062
216, 33065
194, 33071
211, 33077
18, 33080
4, 33133
24, 33152
24, 33163
272, 33167
52, 33203
267, 33211
49, 33223
89, 33229
50, 33233
97, 33234
274, 33248
259, 33270
236, 33273
239, 33280
154, 33291
132, 33294
269, 33299
164, 33325
235, 33342
117, 33435
54, 33454
261, 33458
69, 33489
258, 33513
124, 33581
1, 33602
258, 33630
38, 33641
33, 33649
111, 33667
47, 33708
105, 33802
289, 33812
239, 33818
124, 33866
217, 33888
21, 33894
26, 33924
165, 33945
24, 33987
179, 33992
98, 34011
57, 34062
260, 34123
282, 34151
186, 34170
202, 34209
190, 34231
288, 34247
180, 34272
206, 34312
72, 34318
15, 34359
262, 34379
139, 34396
31, 34445
110, 34451
114, 34517
70, 34527
118, 34528
270, 34584
125, 34590
7, 34604
229, 34618
242, 34652
298, 34664
96, 34719
274, 34734
36, 34749
222, 34762
51, 34811
65, 34869
23, 34931
11, 34968
256, 35004
12, 35040
232, 35074
218, 35085
37, 35164
276, 35174
220, 35194
82, 35196
286, 35211
12, 35287
245, 35292
140, 35296
45, 35317
184, 35333
98, 35339
286, 35343
282, 35354
183, 35369
248, 35381
178, 35390
291, 35430
57, 35456
265, 35459
70, 35464
269, 35472
238, 35518
217, 35521
272, 35572
146, 35573
62, 35652
167, 35676
127, 35678
251, 35678
106, 35719
281, 35748
175, 35813
119, 35826
104, 35892
202, 35909
131, 35966
163, 36080
242, 36124
230, 36135
9, 36154
202, 36159
100, 36160
136, 36190
247, 36191
254, 36239
81, 36323
208, 36365
136, 36367
253, 36426
8, 36449
144, 36457
121, 36478
150, 36500
30, 36518
90, 36537
45, 36587
212, 36632
8, 36664
193, 36677
198, 36692
238, 36693
194, 36713
193, 36769
91, 36788
271, 36813
108, 36842
159, 36866
64, 36875
84, 36875
94, 36892
61, 36916
120, 36917
265, 36952
161, 36958
249, 36960
188, 36971
100, 37046
194, 37069
112, 37071
55, 37101
46, 37134
203, 37143
126, 37154
46, 37160
15, 37163
197, 37220
179, 37222
105, 37266
241, 37272
19, 37288
89, 37294
229, 37300
290, 37302
290, 37332
18, 37387
73, 37403
158, 37414
16, 37420
56, 37439
150, 37468
189, 37479
80, 37512
21, 37525
278, 37544
40, 37560
240, 37604
75, 37619
168, 37629
50, 37662
161, 37714
23, 37794
2, 37802
294, 37810
213, 37832
280, 37898
53, 37998
145, 38014
59, 38045
26, 38046
251, 38076
0, 38101
214, 38126
14, 38149
109, 38184
47, 38187
114, 38203
93, 38213
77, 38215
269, 38218
13, 38243
160, 38256
263, 38260
289, 38262
280, 38277
85, 38333
145, 38412
287, 38428
182, 38429
177, 38455
36, 38458
111, 38523
250, 38590
21, 38591
182, 38627
19, 38639
58, 38667
261, 38713
131, 38763
144, 38776
167, 38808
232, 38826
72, 38853
185, 38855
184, 38860
96, 38913
103, 38935
117, 38937
295, 38962
152, 38997
156, 38997
200, 39048
142, 39051
102, 39060
158, 39072
199, 39112
232, 39124
53, 39203
41, 39210
159, 39224
211, 39245
159, 39263
221, 39275
237, 39291
215, 39301
215, 39341
22, 39360
224, 39363
197, 39511
236, 39513
77, 39533
1, 39545
204, 39553
6, 39576
102, 39576
271, 39584
13, 39623
4, 39657
3, 39720
112, 39772
38, 39784
188, 39798
58, 39800
246, 39811
126, 39841
157, 39845
170, 39934
237, 39960
276, 39960
28, 39972
25, 39984
18, 40019
113, 40031
66, 40036
267, 40043
224, 40064
162, 40085
10, 40109
127, 40153
175, 40277
195, 40288
40, 40291
277, 40335
223, 40338
39, 40443
76, 40457
30, 40544
220, 40545
29, 40556
281, 40557
93, 40586
85, 40587
195, 40623
12, 40630
268, 40639
152, 40666
34, 40675
170, 40758
275, 40763
62, 40879
186, 40897
165, 40917
233, 40945
262, 40969
156, 41003
5, 41024
89, 41059
151, 41094
221, 41097
279, 41100
119, 41111
288, 41125
76, 41131
133, 41153
149, 41156
169, 41156
83, 41164
290, 41220
136, 41227
146, 41228
5, 41267
224, 41285
60, 41307
168, 41434
114, 41463
245, 41587
197, 41590
135, 41613
288, 41726
185, 41786
161, 41838
62, 41855
50, 41881
105, 41889
11, 41912
164, 41938
165, 41942
36, 41952
279, 41992
42, 41994
192, 42047
25, 42053
166, 42070
295, 42074
259, 42075
178, 42118
203, 42130
163, 42183
118, 42244
263, 42308
94, 42330
17, 42404
259, 42429
282, 42441
237, 42464
108, 42514
104, 42527
57, 42544
147, 42562
235, 42567
46, 42570
267, 42571
218, 42597
75, 42654
212, 42668
257, 42711
291, 42725
217, 42733
56, 42761
122, 42764
225, 42770
48, 42775
262, 42790
13, 42797
128, 42926
155, 42952
160, 42962
155, 42965
28, 42989
295, 43061
226, 43084
231, 43135
104, 43157
167, 43170
287, 43215
256, 43283
81, 43318
169, 43428
139, 43437
73, 43457
222, 43462
101, 43498
99, 43507
183, 43510
6, 43572
255, 43576
20, 43658
209, 43658
173, 43669
211, 43692
253, 43748
110, 43796
206, 43882
79, 43892
144, 43955
48, 43981
49, 44007
119, 44057
59, 44070
107, 44076
281, 44107
41, 44137
90, 44162
125, 44245
33, 44250
125, 44250
86, 44295
51, 44348
61, 44350
65, 44433
48, 44455
155, 44458
266, 44484
140, 44551
213, 44574
142, 44671
11, 44789
106, 44798
175, 44805
244, 44806
183, 44826
287, 44835
298, 44909
142, 44910
207, 44926
274, 44928
172, 44961
203, 45187
20, 45190
38, 45198
241, 45268
253, 45303
71, 45350
185, 45416
294, 45428
166, 45430
236, 45493
106, 45504
156, 45532
61, 45591
225, 45654
16, 45667
141, 45676
3, 45733
227, 45745
84, 45777
79, 45784
17, 45941
222, 45948
166, 46006
299, 46064
291, 46086
169, 46352
198, 46416
40, 46430
110, 46559
173, 46577
250, 46584
111, 46600
137, 46609
133, 46661
250, 46680
78, 46763
39, 46778
248, 46896
173, 46949
122, 46963
208, 46979
241, 46980
43, 46994
14, 47108
85, 47148
90, 47155
138, 47302
225, 47364
220, 47461
204, 47466
157, 47512
120, 47668
86, 47698
55, 47831
0, 47944
77, 47958
123, 48018
130, 48026
133, 48070
66, 48083
256, 48103
78, 48107
34, 48135
158, 48265
243, 48290
212, 48384
72, 48395
227, 48427
14, 48600
109, 48693
164, 48706
192, 48718
294, 48886
49, 48958
94, 48966
6, 49084
102, 49138
181, 49268
83, 49275
103, 49388
10, 49401
135, 49626
179, 49664
128, 49691
20, 49732
227, 49735
83, 50097
29, 50212
112, 50416
47, 50483
96, 50496
81, 50615
186, 50621
9, 50723
298, 50744
34, 50760
113, 50787
59, 50859
17, 50875
123, 51073
103, 51166
206, 51168
66, 51174
189, 51197
33, 51334
78, 51336
4, 51351
69, 51354
25, 51544
86, 51566
177, 51743
162, 51758
246, 51787
231, 51851
115, 51853
149, 51875
266, 51988
51, 52168
181, 52206
204, 52256
208, 52424
181, 52484
42, 52495
200, 52514
101, 52611
226, 52638
275, 52801
39, 53056
129, 53447
218, 53449
80, 53563
198, 53584
149, 53637
113, 53896
65, 54009
79, 54035
278, 54044
199, 54380
235, 54593
244, 54600
107, 54760
108, 54883
22, 54946
71, 54959
29, 54965
42, 55007
55, 55036
107, 55127
109, 55328
130, 55341
123, 55436
233, 55677
147, 55725
266, 56030
101, 56659
146, 56994
120, 57188
0, 57544
209, 58231
99, 58377
157, 58644
213, 59280
71, 59921
231, 60064
130, 60759
135, 61019
244, 62129
